Location,Age,Shopping,Budget,City,Food,Hot,Siteseeing,Popular,Alone,Friends,Family,Lover,History,Transporation,Activity,Age4,Age5,Age6,Budget2
Osaka,1,0.8,0,0.8,1,0.2,0.6,1,0.7,1,0.5,0.3,1,0.8,0.5,0.5,0.5,0.4,1
Fukuoka,1,0.8,1,0.6,0.8,0.2,0.7,1,0.8,1,0.5,0.3,0.2,0.6,0.1,0.6,0.7,0.7,1
Tokyo,1,1,0,1,0.7,0.2,0.9,1,0.8,1,0.8,0.3,0.6,1,0.5,0.5,0.4,0.2,0
Okinawa,1,0.4,0,0.1,0.4,0.6,0.1,1,0.2,0.8,0.7,1,0.2,0.1,0.7,0.7,0.4,0.4,0
Bangkok,0.5,0.6,0,1,0.8,1,0.9,0.8,0.2,0.7,0.3,0.4,0.8,1,0.1,0.7,0.7,0.6,1
Taipei,0.7,0.3,0,0.8,0.4,0.8,0.7,0.6,0.4,0.8,0.3,0.3,0.5,0.8,0.1,0.8,0.8,0.7,0
Da Nang,0.5,0.3,0,0.8,0.6,1,0.5,0.7,0.2,0.8,0.3,0.6,0.2,0.8,0.1,0.7,0.8,0.6,1
Hong Kong,0.8,1,0.8,1,0.6,0.8,1,0.8,0.4,1,0.6,0.5,0,1,0.5,0.7,0.5,0.5,1
Oita,0.5,0.3,1,0.2,0.6,0.2,0.7,0.4,0.4,0.6,0.7,0.3,0.2,0.4,0.1,0.6,0.9,1,1
Guam,0.7,1,0,0.3,0.4,1,0.1,0.8,0.3,0.8,1,0.9,0.1,0.1,0.9,0.7,0.5,0.4,0
